repo,number,title,author,author_type,state,draft,created_at,updated_at,closed_at,merged_at,merged,merged_by,merged_by_type,additions,deletions,changed_files,commits,conversation_comments,review_comments,html_url,hours_to_merge,days_to_merge,closed_without_merge,teammate_merge
celts,449,Email all issue397,thawpt,User,closed,False,2022-07-12 19:42:52+00:00,2022-07-15T15:53:02Z,2022-07-15 15:52:58+00:00,2022-07-15 15:52:58+00:00,True,,,10,4,1,11,1,3,https://github.com/BCStudentSoftwareDevTeam/celts/pull/449,68.16833333333334,2.8403472222222224,False,True
celts,450,Faculty and Student RSVP button,bledsoef,User,closed,False,2022-07-12 19:45:19+00:00,2022-07-13T13:28:29Z,2022-07-13 13:27:54+00:00,2022-07-13 13:27:54+00:00,True,,,7,10,3,2,0,0,https://github.com/BCStudentSoftwareDevTeam/celts/pull/450,17.709722222222222,0.7379050925925926,False,True
celts,451,Renaming page and fixing links,thawpt,User,closed,False,2022-07-12 20:53:17+00:00,2022-07-13T21:00:06Z,2022-07-13 20:59:53+00:00,2022-07-13 20:59:53+00:00,True,,,22,14,10,5,0,2,https://github.com/BCStudentSoftwareDevTeam/celts/pull/451,24.11,1.0045833333333334,False,True
celts,452,Improved the header on the 'Course Proposals' page and added a period to the recurring event selector on the create event page.,AndersonStettner,User,closed,False,2022-07-13 14:08:05+00:00,2022-07-13T14:53:30Z,2022-07-13 14:53:23+00:00,2022-07-13 14:53:23+00:00,True,,,2,2,2,2,0,0,https://github.com/BCStudentSoftwareDevTeam/celts/pull/452,0.755,0.03145833333333333,False,True
celts,453,added padding to separate event types and remove headers,thawpt,User,closed,False,2022-07-13 14:24:50+00:00,2022-07-13T14:45:02Z,2022-07-13 14:44:56+00:00,2022-07-13 14:44:56+00:00,True,,,1,2,1,1,0,0,https://github.com/BCStudentSoftwareDevTeam/celts/pull/453,0.335,0.013958333333333335,False,True
celts,455,Refactor Create Event Page #442,Boorclark,User,closed,False,2022-07-13 18:42:12+00:00,2022-07-14T16:06:55Z,2022-07-14 16:06:51+00:00,2022-07-14 16:06:51+00:00,True,,,249,376,9,13,2,4,https://github.com/BCStudentSoftwareDevTeam/celts/pull/455,21.410833333333333,0.8921180555555556,False,True
celts,456,fix the hasPrivilege issue,qasema,User,closed,False,2022-07-13 19:29:25+00:00,2022-07-13T19:32:18Z,2022-07-13 19:32:15+00:00,2022-07-13 19:32:15+00:00,True,,,5,7,4,1,0,0,https://github.com/BCStudentSoftwareDevTeam/celts/pull/456,0.04722222222222222,0.0019675925925925924,False,True
celts,457,Changed what templates program managers can access,bledsoef,User,closed,False,2022-07-13 19:51:53+00:00,2022-07-13T20:20:02Z,2022-07-13 20:19:59+00:00,2022-07-13 20:19:59+00:00,True,,,15,21,3,3,0,0,https://github.com/BCStudentSoftwareDevTeam/celts/pull/457,0.4683333333333333,0.01951388888888889,False,True
celts,459,Made separate function for getTemplates and updated getPrograms.,bledsoef,User,closed,False,2022-07-13 20:42:51+00:00,2022-07-14T15:13:33Z,2022-07-14 15:13:30+00:00,2022-07-14 15:13:30+00:00,True,,,66,14,4,3,0,2,https://github.com/BCStudentSoftwareDevTeam/celts/pull/459,18.510833333333334,0.7712847222222222,False,True
celts,460,Changed 'Interested?' to 'Notify' and 'Completed Training' to just 'Training',AndersonStettner,User,closed,False,2022-07-13 21:36:53+00:00,2022-07-14T13:32:00Z,2022-07-14 13:31:57+00:00,2022-07-14 13:31:57+00:00,True,,,2,2,1,1,0,0,https://github.com/BCStudentSoftwareDevTeam/celts/pull/460,15.917777777777777,0.6632407407407407,False,True
celts,463,Test fixes issue #462,AndersonStettner,User,closed,False,2022-07-14 13:34:45+00:00,2022-07-14T13:35:31Z,2022-07-14 13:35:27+00:00,2022-07-14 13:35:27+00:00,True,,,1,1,1,1,0,0,https://github.com/BCStudentSoftwareDevTeam/celts/pull/463,0.011666666666666667,0.00048611111111111115,False,True
celts,465,Test 2,AndersonStettner,User,closed,False,2022-07-14 13:41:30+00:00,2022-07-14T13:43:07Z,2022-07-14 13:43:02+00:00,2022-07-14 13:43:02+00:00,True,,,1,1,1,2,0,0,https://github.com/BCStudentSoftwareDevTeam/celts/pull/465,0.025555555555555557,0.0010648148148148149,False,True
celts,467,Back to normal,AndersonStettner,User,closed,False,2022-07-14 13:45:07+00:00,2022-07-14T13:45:35Z,2022-07-14 13:45:31+00:00,2022-07-14 13:45:31+00:00,True,,,1,1,1,1,0,0,https://github.com/BCStudentSoftwareDevTeam/celts/pull/467,0.006666666666666667,0.0002777777777777778,False,True
celts,469,Test,AndersonStettner,User,closed,False,2022-07-14 13:51:00+00:00,2022-07-14T13:51:29Z,2022-07-14 13:51:23+00:00,2022-07-14 13:51:23+00:00,True,,,1,1,1,1,0,0,https://github.com/BCStudentSoftwareDevTeam/celts/pull/469,0.006388888888888889,0.0002662037037037037,False,True
celts,470,got rid of comment used for testing,AndersonStettner,User,closed,False,2022-07-14 13:53:52+00:00,2022-07-14T13:56:46Z,2022-07-14 13:56:43+00:00,2022-07-14 13:56:43+00:00,True,,,1,1,1,1,0,0,https://github.com/BCStudentSoftwareDevTeam/celts/pull/470,0.0475,0.001979166666666667,False,True
celts,471,Issue#445 add multiple volunteers,martinj2-dot,User,closed,False,2022-07-14 13:59:09+00:00,2022-07-20T15:24:25Z,2022-07-20 15:24:21+00:00,2022-07-20 15:24:21+00:00,True,,,55,35,3,14,0,10,https://github.com/BCStudentSoftwareDevTeam/celts/pull/471,145.42,6.059166666666666,False,True
celts,473,Added links to the programs on volunteer page,Boorclark,User,closed,False,2022-07-14 15:04:43+00:00,2022-07-14T16:11:16Z,2022-07-14 16:11:09+00:00,2022-07-14 16:11:09+00:00,True,,,16,1,2,1,0,0,https://github.com/BCStudentSoftwareDevTeam/celts/pull/473,1.1072222222222223,0.046134259259259264,False,True
celts,474,Instructor duplicate 472,qasema,User,closed,False,2022-07-14 19:19:25+00:00,2022-07-15T13:24:48Z,2022-07-15 13:24:44+00:00,2022-07-15 13:24:44+00:00,True,,,5,1,1,5,0,0,https://github.com/BCStudentSoftwareDevTeam/celts/pull/474,18.08861111111111,0.7536921296296296,False,True
celts,475,Changed the getNonProgramEvents function to getOtherEvents,bledsoef,User,closed,False,2022-07-14 19:32:26+00:00,2022-07-15T13:53:45Z,2022-07-15 13:53:28+00:00,2022-07-15 13:53:28+00:00,True,,,32,22,4,2,0,0,https://github.com/BCStudentSoftwareDevTeam/celts/pull/475,18.350555555555555,0.7646064814814815,False,True
